place,categories,user code,title,review,rating,date
The Centurion Lounge,Airport Lounges,bayareagirl66,Crowded lounge with mediocre food offerings,"When I heard Michelle Bernstein was the executed chef for this lounge I was anxious to try the food.  However, I found the offerings lackluster, for instance, mashed potatoes that were room temperature.",30,September 2019
Domino Park,Parks,bleph,Cool park,There's a lot of cool history in this park and it's absolutely worth the walk,50,June 2019
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,387indy,Adrienne Arsht Center,"Adrienne Arsht Center for the Performing Arts is a beautiful venue, nice facilities, nice décor, parking, good staff. We have seen good shows, 'Hello Dolly' with Betty Buckley, Jerry Seinfeld.",40,December 2018
Matheson Hammock Park,Parks,Motherofchildren,"Beautiful, hidden gem","This is one of our favorite parks. It is quiet and beautiful. We like to go for an hour or two, bring a picnic and just pretend that Miami has not grown up into the big city it now is. ",50,May 2018
Matheson Hammock Park,Parks,Renato E,A beach in the south," Family oriented, this is probably one of the best alternatives if you’re in the south and you don’t want to drive all the way to South Beach or key biscayne . It has a small beach protected from the ocean, I love it",50,October 2018
Matheson Hammock Park,Parks,Anadearmas,Family Time,"Great place to walk with your family or just with your half. The sea breeze invite you to just contemplate this spectacular view. The bay was design for the little ones to swim, there are life saver. It is really a place for all ages.",50,December 2018
Matheson Hammock Park,Parks,Pam L,Friday at Matheson Hammock Park,"It was an idyllic day trip to Matheson Hammock Park! Located on a beautiful, nature park in Miami. It was quiet, relaxing at their small beach that has water coming in from the bay. At the shoreline, you can see some fish. Further in the water, it has grass which isn't my favorite, but the rest of this beach is perfect for sun bathing, reading a book, relaxing time with your spouse, or playing with your children. I use to bring my son here over 20 years when he was a toddler and I have fond memories.",40,March 2019
Matheson Hammock Park,Parks,David A,Gorgeous Place and Gorgeous View,"We took our kids to swim here decades ago, and still love to visit. The views of Downtown/Brickell, Key Biscayne, and South Beach from across the Bay are the best there is. When we take visitors at night, they literally gasp at the views. Can't wait for Redfish Grill to reopen.",50,February 2019
Frost Museum of Art,Art Museums,Ian C,"Excellent exhibitions with a focus on Latin America, and strong on Cuban art",The key for visiting is to check that there are a full range of exhibitions on at the time.,50,November 2017
The Centurion Lounge,Airport Lounges,AkHasan,Great place to relax before flight,Staff was friendly and attentive and food was healthy and fresh and very good beverage selection.  Was a bit crowded but it was peak flight time (6:00pm).,50,July 2019
The Centurion Lounge,Airport Lounges,dennismE3911XZ," Poor,and unprofessional Customer service ",This lounge sucks and the two guy at the front desk need immediately customer service training not supervisor or manager on duty to complaint can you believe it?Employees can do what ever they want They make you feel like you are in third world country.Very poor customer service.I realized couple years ago that this centurion lounge in Miami  is totally different from others But at least this my last time.Today is 8/2/19,10,August 2019
Domino Park,Parks,bpask,Great place to socialize with the locals,Great place to watch all the domino games and the interactions with the locals.  Located right on the corner and easy to find!,50,April 2019
Matheson Hammock Park,Parks,sandradjanira,Nice relaxing area but need improvement.,"nice relaxing area but the ""pool"" does not look clean at all. bathrooms are not clean, great parking. i have a service dog for my husband and we were given a hard time becose of it.",30,August 2017
Matheson Hammock Park,Parks,clara672,Visit to Matheson hammock park,Disappointed with our visit here. We went in the swimming atol but it was murky. The whole place seemed deserted and we didn’t stay long. ,10,August 2018
Matheson Hammock Park,Parks,cateyes22,Bost trip,Went out on the boat. Stopped to use the bathrooms before heading out. Ladies bathrooms door doesn't lock and dockhand just sat in rocking chair chair staring at us as we were coming in not even offering to lend us a hand when the winds were picking up. Shocked,20,August 2018
Matheson Hammock Park,Parks,Loves2travel726,"Review from a local, stay away from this place!",I will not be back to this sorry excuse of a park any time soon.,10,July 2018
Matheson Hammock Park,Parks,jhendron2015,Not Impressed,I found one trail there and it was only about a mile long. Along that trail there was lots of trash. There was a duffle bag swarmed by maggots and caution tape around it. The park didn't want to remove the bag but just have people walk around it? However at the end of the park there is a bay for kite boarding and wind surfing. That was a thrill to watch. They also have rentals there.,20,June 2018
Frost Museum of Art,Art Museums,ireneo631,First time visit,Went to the Frost yesterday with my daughter for the first time since purchasing the family membership. It is beautiful!!! There is a big marine/aquatic presence plus space and body health science. The museum opening had big expectations for Miami resident and it does not disappoint. The building is modern and the exhibits are beautifully done.  I did not do the planetarium this time around but will do it next visit. ,50,June 2017
Veza Sur Brewing Co.,Breweries,DBernard1029,Get Cafe Con Flan!,"I’ve gone to Veza Sur a handful of times and I’ve always enjoyed it. They serve some great beers, but most notably is the Cafe Con Flan. I live out of town and literally crave them! They have both indoor and outdoor seating and were able to accommodate our large group most recently, even on a busy night. Great atmosphere as well. Definitely a place to go in Wynwood! ",50,July 2019
The Centurion Lounge,Airport Lounges,relldy01,great experience,Very nice lounge and good food!  The staff was excellent and all of our needs were met with friendly faces!,50,March 2019
The Centurion Lounge,Airport Lounges,RahulPKaran,"Made my Day after a Long Delay, Best Lounge there is!","My flight was delayed by 4 hours but having a Centurion Lounge at the airport was a godsend. The staff were fantastic and very attentive. Organised a shower and a massage for me as I had time to kill. The food was fantastic as always, the mimosas are a delight. Empty plates are cleaned away so quickly and quietly, always with a smile. Very glad to be an AMEX customer. ",50,May 2019
The Centurion Lounge,Airport Lounges,franko934,amazing spot to eat and rest,"On our recent business trip, we stopped by for an early breakfast prior to our flight. The staff was friendly and attentive. The food was just what we needed. Highly recommend membership for your travels.",50,May 2019
Frost Museum of Art,Art Museums,Jeffrey H,Hidden Art Gem,"If you want a mini-Met (as in Metropolitan Museum of Art, New York) then head to the Frost where the collection and shows are interesting and worth repeat visits.  A treasure on the University of Miami campus.",50,August 2016
Matheson Hammock Park,Parks,JazzyRo,Exceptional Wedding Venue!,"There is still some construction that remains to be done since the hurricane, but the rest of the park is an amazing spot for beautiful pictures.",50,April 2018
Matheson Hammock Park,Parks,VacaCouple2014,Great small beach for a quick swim,We have been here many times. It is a small beach with an inlet. Shallow water. you will see families having a picnic with small children or teaching them how to swim. It is a lovely spot near Fairchild Tropical Gardens and you can spend an hour or more under the shade of the trees. Very nice spot for a swim. ,50,April 2018
Matheson Hammock Park,Parks,solenned212,wonderful park,"A beautiful park hidden in the grove. A really nice place to enjoy the beach or to go kayaking. Whatever the time of the day you go, it is gorgeons.",50,October 2017
Matheson Hammock Park,Parks,expeditionkitty,"Secure, comfortable beach area",Definitely a family area! Cant wait to visit again some time.,40,August 2017
Matheson Hammock Park,Parks,jeeplvr,Relaxation,Good place to visit to relax in the breeze and enjoy a view of the Bay. We go to watch the wind surfers and to relax,50,April 2018
Frost Museum of Art,Art Museums,Pillsbury1111,A Bit of a Hidden Gem - Nicely Presented Collection,"Although the collection is thin, what is presented is very well done.  The collection is nicely displayed.  A fair range of styles.  Interesting contemporary pieces.  i couldn't find a connecting theme among the galleries, but the mix allows for cognitive exploration.  The siting of the building is pleasant on the FIU campus.",40,December 2016
Black Police Precinct and Courthouse Museum,History Museums,Ckim203,Important,I learned so much! Incredible space to visit to learn about authentic community history. Highly recommend.,50,October 2019
The Centurion Lounge,Airport Lounges,Luda F,Nice lounge,Spacious rooms. Food was decent and there was a lot of it. Good Internet connection. Clean facilities. Efficient service.,40,March 2019
The Centurion Lounge,Airport Lounges,pdb5c,"Paid $600 for unlimited access, then Amex changed the rules","My service expires in 3 months, and I will not be renewing.",20,March 2019
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Ssn2013,Gladys Knight Concert,Enjoy!!!!,40,February 2018
Frost Museum of Art,Art Museums,foxsmjr,A minimal collection with good exhibits,"FIU's art museum is worth a trip in itself to take in their small permanent collection and constantly rotating exhibits of emerging artists.  It not big, easily managed in under an hour, and with free admission, there is no reason to miss it.  Worth the trip",30,September 2014
Matheson Hammock Park,Parks,Pineapples-a-Plenty,Rustic,"Lots to see, and pretty basic in terms of infrastructure. You can get a good view of Miami, and Biscayne Bay. The palm trees are beautiful!",30,December 2017
Matheson Hammock Park,Parks,FPAdventurer,Disappointing,As a child I used to visit there all the time and have great memories. Now they have removed many of the picnic shelters in the entrance and the beach area is completely run down. It’s a shame the county is ignorning the park. The front park is still worth a stroll.,30,January 2018
Matheson Hammock Park,Parks,_jdiazarciga,Excellent Family Outdoor Activities Option,"Safe and lots of families, especially in the weekends.",50,February 2018
Matheson Hammock Park,Parks,Stormy lee M,Beautiful little beach,My family came here on a little trip based on reviews. Perfect place for a small dip in the water and a picnic! Came during the week and was not busy at all compared to the other beaches. I feel some of the park may have been closed/ damaged due to the recent hurricane. Very scenic and they even have a lifeguard on duty.,40,March 2018
Matheson Hammock Park,Parks,omirta,Nice and clean beach,"Well kept. Near bathrooms. Can grill or bring a picnic. Better than the public beaches. There's a fee to get in, but it's worth it.",40,June 2017
Wynwood Brewing Company,Breweries,V6870HWjamesf,Wynwood Brewery,Great brewery to stop in at when you are in Wynwood taking in the murals.  No food options onsite but many people bring in food from the outside or even food trucks.  I had their La Rubia blond ale.  It plays like a Kolsch or a Cream Ale.  It was nice and not overly bitter.  Great little place in the middle of all the art action.  They have Growlers and cans to go.,50,December 2017
Black Police Precinct and Courthouse Museum,History Museums,Ella F,Incredibly passionate guide made for amazing experince,I went to the museum with a cohort of social justice fellows on a Saturday morning. We were provided with an excellent tour that was very comprehensive. The tour began with a detailed history of the need and interest in having a black police precinct in Miami. Our visit concluded with a discussion on the purpose of the precinct and court-room now. I would highly recommend a visit to this museum if you are ever in the Miami-Dade area!,50,October 2019
The Centurion Lounge,Airport Lounges,Glamourlife,Good oasis in airport,"Pleasantly surprised by the lounge. Normally do delta sky club, but used my platinum Amex to check out the centurion lounge in terminal D. Plenty of charging stations, good food, and comfortable place to relax while waiting for my flight ️ back up north.",50,February 2019
Domino Park,Parks,Wombling_Free_7548,Short stop,If you are on Calle Oche then you must stop and watch the dominos being played - it’s iconic. There’s no issue with you watching. We only stopped for a few minutes. Look out for the domino designs in the pathway by the side of the park.,40,February 2019
Frost Museum of Art,Art Museums,TouringLawyer,Lovely art museum on FIU Campus,"With a combination of touring exhibits, a permant collection of art and some student shows, the Frost is a sophisticated art gallery on the campus of Florida International University. Admission is free and parking on campus is accessible. The Frost has a diverse collection and is definely worth a drive to the suburbs.",40,January 2015
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Mary_LivinofftheLand,Classy place,"I went for the successful musical ""On your Feets"" by Emilio and Gloria Estefan. I loved the place. Beverages are overpriced, you could pay 15$ for a plastic shot of whiskey. Also, try to explore about parking before arrive. Remember it is downtown, a crazy spot for everything. The acoustic is amazing, the staff, everything is almost perfect.",40,October 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,KPboulder,Excellent Venue -- parking can be an issue,"Go the the Arsht for shows you like -- it's very good.  But do not park at the Omni, it is a  disaster.",40,December 2017
Matheson Hammock Park,Parks,stephen p,Absolutely beautiful,"We stopped here and drove back to ""The Round Beach"". There is a lot of paid parking. The place is stunning. I wished we would have brought bathing suits. There were quite a few people swimming. Id come again just for the view. ",50,August 2017
Matheson Hammock Park,Parks,916angelof,Nice little gem of a park,A very nice picnic spot for anyone.,50,March 2017
Matheson Hammock Park,Parks,susanhorn4life,My hometown park in ruins😥,This is the happy place of my childhood. Even in Ruins it's got my whole entire heart. I do not recommend you take your families at this moment this covered by tape destroy building in boats. That we all I know you can still go out there and rent a kayak . Matheson hammocks will rebuild,10,December 2017
Matheson Hammock Park,Parks,fhdkf,"A Very Old, Pretty Swimming Hole","My father used to bring me to Mathewson Hammock when I was a child, about 50 years ago!!!  I still go there.  It's very pretty. It could be cleaner and when the tide comes in and out it can be a little smelly.  But if you are a tourist, take a ride out there.  Very pretty spot.",30,January 2017
Matheson Hammock Park,Parks,Willians M,Nice place to spend sometime enjoying the sunset,"Matheson Hammock Park is an excellent place to come and enjoy the sunset. The best time to come is during the week, this way won't be so crowded and you'll enjoy it better. There are parking spots very close.",40,July 2017
Wynwood Brewing Company,Breweries,gingermeggs65,Wow! Quite the surprise!,"It was with great trepidation two middle aged ladies pulled up outside what looked to be a ""rough area"". But it ended being an amazing experience with beautiful beer and a amiable and chilled atmosphere. Try a tasting paddle of four beers is the best way to savour some of the offerings without getting too sloppy as some of the beers are quite strong. And enjoy the walk along some of the most amazing street art on the way to the next small brewery a bit further up the way!",50,May 2017
Black Police Precinct and Courthouse Museum,History Museums,Andrea T,Black History in Historic Overtown District,"The Black Police Precinct and Courthouse presents the history of black police officers in Miami.  I won't go into the details here, but you will learn about the First Five, the development of the City of Miami's Police Academy, a wall of honor for the black officers who lost their lives.  This is a wonderful study in African American history in policing that very few people are aware of.  I must visit while in Miami.  One of the best features....retired Black police officers offer the guided tour!  What an honor.",50,June 2016
The Centurion Lounge,Airport Lounges,70jasonr,CEO,"Disgustingly dirty, rude hosts at check in, I am actually going to be cancelling my 5 different Amex Cards (several for business).  Filthy bathroom, I get that Amex can’t control the smelly disgusting people in the lounge who pee all over the floor in the bathroom, leave chewed up spit out food on the tables, chairs... smell terrible...  They could however try to clean up behind their disgusting guests.  Similar experience in their Las Vegas lounge a few weeks ago.  Sad!",10,January 2019
Domino Park,Parks,Naovice,Happy to see this kind of things,"I like the old guys plays domino in the park, they enjoy and laugh when playing,  I'm happy to see that. you can try it if you are a domino player.",40,June 2018
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Thetravelingq,Great venue,"Awesome, not a bad seat in house. Drinks for purchase, couple restaurants on site",40,October 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,alinelomenso,Terrible experience at Arsht Center Miami,"It was very disorganized, very disrespectiful to those who planned and issue a ticket, and very unprofessional. The show was free, but tickets were ""told' to be required beforehand. Why offer a ticket in advance if it does not have any value or is not a requirement to get into the show? Just because it was free people dont deserve respect or the venue does not need to honor the ticket?",10,October 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,klennox1982,Lucia di Lammermoor - FGO,"On another note, only 2 servers/bartenders is not enough when there around 1500 students or attendees.  Plus the intermissions were too short if anyone was looking to purchase anything but water.  You cannot enter the theater with anything but water.",50,November 2017
Matheson Hammock Park,Parks,Flor D,Pregnancy photoshoot. Spectacular park!!,"Hi guys!! Flor here. It has been a while. I gave birth to twins recently. I am back though!! Ok, first this park. Had my pregnancy photoshoot at this location and I was IMPRESSED by its beauty. It is a breathtaking park. It has a small but nice beach and the vegetation is so lush, you will NOT believe you are in the middle of the hustle and bustle of Coral Gables!! The trees are its best feature, giving it a feel of a tropical forest. They made my pictures so dreamy!! See attached pics. It is perfect for picnicking and relaxing because sea breeze keeps it cool. It has a rental cabana for parties (perfect for baby showers), restaurants, and a nice long trail for bikes or just walking and enjoying nature. A must see if you visit Miami. Cars pay $5 during weekdays and $7 on weekends. Really worth it! LOVE IT",50,November 2016
Matheson Hammock Park,Parks,Mame200,Perfect summer afternoon,"You do have to pay for parking, I believe it's a flat rate of $7 but well worth it for a day at the beach.",40,June 2017
Matheson Hammock Park,Parks,justindE4921AL,anther good one,"my experience their and each Garden and parks atmosphere have an amazing tours and lot more of walking fishing , and lot more ",50,December 2016
Matheson Hammock Park,Parks,madiestan,FAB LITTLE PLACE,"great place to go to get away from it all, a man mad beach with a semi circular walk all around it, safe for kids, very pretty, and you can see Miami skyline from there, great photographs",50,July 2017
Matheson Hammock Park,Parks,SSR_Miami,Free Park on Biscayne Bay,"Right next to Fairchild Tropical, this place is free and fun to spend a day on the beach during the cooler months.",50,November 2016
Wynwood Brewing Company,Breweries,655henrikn,Nice place - good beer,"Very relaxed, nice beertender, good beer and cool merchandise. Wynwood feels so relaxed and good valued compared to Miami Beach.",50,December 2016
Black Police Precinct and Courthouse Museum,History Museums,johnny s,One of a kind museum highlighting Miami's unique history!,"Architecturally its significant as a Walter de Garmo buiiding, from the latter end of the art deco period.  One of de Garmo's houses on Star Island was torn down in 2014 despite the protests from preservationists. While this de Garmo gem hides in place sight off I-95.",50,May 2015
Black Police Precinct and Courthouse Museum,History Museums,TravelTrooper1026,Worth a visit,"The history of black police force in Miami comes alive in this museum.  I'm so glad they are preserving the history of this community for future generations.  Although it's a small museum, the exhibits are interesting and the volunteer guides bring it all to life (I believe most, if not all of them, are current or former Miami Police officers.",50,May 2015
The Centurion Lounge,Airport Lounges,BillM2507,Refused entry,This disabled Veteran and disabled wife spending uncomfortable day down in the concouse seats.,10,November 2018
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,barweb11,Fabulous Arts Center,"This was our second visit to an event at the Arsht Center.  We saw ""Four: The Vivaldi Project"" a collaborative work between Decadancetheatre a hip  hop dance company and Nu Deco Ensemble a contemporary orchestra.  Amazing work that brought down the house.",50,April 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Ana B,Costly Outing,"We are season ticket holders and Valet Park for all events and we have not had any issues until Saturdays event.   They were rushing us (we know why now) and we normally go around the car to make sure everything is in order but we did not this time.  Apparently one of the valets backed into another car or a post and damaged my rear bumper to the tune of $2,000+.   Remedies are non-existent at best.   Make sure not to allow them to rush you so you go around the vehicle before you leave the premises and note any damages.",40,June 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Joe S,"Carnival Studio Theater - fun ""Off Broadway"" venue!","A very fun and special evening - and very different than the ""big theater"" night out.",50,June 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,rschagrin,Great Venue,"Beautiful performing arts Center , centrally located on Biscayne Blvd just north of downtown. Comprised of the Ziff Opera , Knight concert Hall and the Carnival Theater.",40,October 2017
Matheson Hammock Park,Parks,lorenaortiz18,Simply Paradise,"I have absolutely loved going to Matheson Hammock Park!  It's family friendly with something to do for everyone!  I love going with my kids especially my 2-year-old.  Want to have a picnic?  Go to the beach or park...you can grill in the park only.  Want to fish, hike, ride a bike, take pictures, enjoy a nice dining experience...well, this is the place that is not overcrowded.  You can secure a shelter for parties and have lots of ground to use for play.  So happy to now be in the neighborhood!",50,April 2017
Matheson Hammock Park,Parks,javiguemes1,Surprisingly cute,"The last thing I was expecting was to find a beautiful ""swimming pool "" in the middle of the ocean surrendered by great vegetation and amazing views. Great facilities like restroom and changing area, pick nick area and Also next to the parking lot, water sport equipment for rent. This is a nice scale fir the traditional Miami Beach. ",50,January 2017
Matheson Hammock Park,Parks,Gator2knight,Lovely atoll with great views,"Highlights of the park are the view of Miami skyline and the atoll. The atoll is a protected swimming hole which is great for kids because there are lots of things to see there including starfish and all kinds of sea critters. Lifeguards are on duty. Sand is quite hard. The atoll is also lovely to walk around. This is a good place to launch your kayak--also you can rent kayaks here. There is a dinner only restaurant, Red Fish Grill which is quite lovely but has mediocre expensive food. There is also a busy marina with stations for cleaning your fish. Large iguanas can always be seen hanging around the marina",40,July 2017
Matheson Hammock Park,Parks,622elianap,Great place to visit for families or couples in love.,"Whether you are there with one or many, Matheson Hammock has much to offer.   The Red Fish Grill is a lovely and delicious restaurant.  The beach area is small but has a great view of the bay and lots of beautiful boats speeding by.   There are also wooded areas great for picnicking and playing family/group games.  There is a very nice boat launch, but come early as the wait can be quite long.",50,April 2017
Matheson Hammock Park,Parks,Diane A,lovely views,"marvelous place to bring children...a nice lagoon for smaller ones to toddle in, the walks are lovely..and the added bonus of a fine dining seafood place nearby.",50,January 2017
Wynwood Brewing Company,Breweries,CDB2014,Great craft beers,We stopped into this place after some tapas at a local restaurant.  One of the hostess at the bar explained in excellent detail each of the beers they had on tap and then gave us small samples.  Excellent service!!!!! ,40,October 2016
Wynwood Brewing Company,Breweries,calicouk,Cool vibe and good beers,"A bit of a walk from the main drag in Wynwood wasn't sure we were heading in the right direction at first, but when we got there it was well worth it plenty of choice of beers, cool art work and a nice place to hang out and try a few different beers. ",50,November 2016
The Centurion Lounge,Airport Lounges,winwithwilliam,Awful,"I would give it a Zero if I could.  Won’t ever go back. I love centurion clubs; however, this particular area is crowded without a seat in the entire place. Such a small place for such a large airport. Poorly done with employee (gentleman bartender) serving drinks at the bar was extremely rude. Guess it was too busy for him as well. I decided to leave and remove myself for the chaos. Still love Am Ex but never will return to this centerion club.",10,October 2018
The Centurion Lounge,Airport Lounges,LolafromNola,Never going back,This is our third time to try to get into the Centurion Lounge in Miami. Third time we could not get a seat anywhere. This is ridiculous. American Express should up their gsme and take care of their members.,10,November 2018
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Barbara R,Love the theater not the parking,"I love going to Adrienne Arsht to see plays, musicals and concerts.  The surrounding areas give you plenty of dining options before the shows.  Only downside - parking.  Way too expensive $15 - $20 - they really gouge you.  I learned to go early enough to park off-site and take Metro Mover to Omni stop.",40,April 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Nikki C,Sound problems?,"A friend and I went to see Jersey Boys on opening night. I'm not sure if it was the first night kinks needing to be worked out, or if the sound is always that bad. The guy who played Frankie Valli was way too loud and the girls who played the singers couldn't be heard, much less understood. It wasn't my favorite venue. I have been to many theaters. This was my first time here, though. Ii thought the concession areas at the entrance made it very claustrophobic and hard to move. Also, you apparently have to go through metal detectors at this venue. Welcome to Miami??? That actually made me nervous. I was glad the tickets were free. I would not pay to see a show at this theater. ",30,April 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Torri K,Fantastic performance space!,Overall I would say a Friday or Saturday show will make for a great evening and if you get dinner ahead of time and then grab some wine or spirits you will be set for the night.,50,February 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Hialeah73,Easy to Park & Walk into Center Nice & New Building,"Very good acoustics and modern good looking building. Everything was very clean. Staff members pleasant.  I sat upstairs and seats, were comfortable. Only complain I had was they had house lights in the front corner booth where an Interpreter was signing to hearing impaired patrons were very bright. Where I sat upstairs it was very distracting because at times brighter than the stage. I am light sensitive so it was really bothering me.  At one point I even left my seat an asked an usher if there was a way to reduce the light brightness. She informed me I would have to go downstairs and speak to the manager. Since I would miss to much of the play I just went back in and didn't look at the stage. I applaud them for having this service available for the many disabled patrons but feel the lighting can be adjusted to accommodate other patrons with issues to. Maybe they need to move that box so its not center stage. I'm not sure where someone in my situation could sit to avoid this, so I won't be purchasing tickets here again. I attend many events and have never experienced this problem at other venues that offer services to support the patrons with disabilities but hope they might find a happy medium to accommodate all patrons.",30,March 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Mobile708674,Absolutely fabulous ,"When I went here as soon as I saw the exterior I knew it was going to be amazing. When I walked in the staff was extremely kind. Though the lines were long it didn't take us as while to get in. When the show started you could tell the actors were serious and loved their job. The show I would recommend is ""Rock Oddesy"". I teaches a valuable lesson.",50,May 2017
Matheson Hammock Park,Parks,Joseph E,"Calm, beautifulo, relaxing!","I've been going to Matheson Hammock Park since 1954 when my family moved to South Miami.  Although there have been some changes, the Park has remained just as beautiful and relaxing now as it has always been.  Probably my favorite place in all of Miami area!",50,May 2017
Matheson Hammock Park,Parks,jacquelinebJ8146GQ,A must do for kids and family chill day,It has an entrance fee of a couple dollars but lil ones can enjoy a relaxing day on a lil beach with a walking sidewalk that has beautiful bay views of all of Miami..quiet and chill!,50,May 2017
Matheson Hammock Park,Parks,The_travelingkitten3,Nice mini getaway from the hectic city,"If you want a place to enjoy with friends/family, this place is excellent for unwinding. It's pretty basic and has a place to park your boat if you own one. There's also a restaurant nearby. I've never tried it but I have heard that it's ok. All in all, it's a beautiful way to escape the craziness of this city. ",40,May 2017
Matheson Hammock Park,Parks,stoshjdmia,Nearby Beach,"Matheson is a Park and a Beach/Tidel with Boat Slips and Ramps to access Biscayne Bay and the Atlantic Ocean. It is nearby the Coral Gables, Dadeland, Pinecrest, Palmetto Bay area. It is centrally located for the South Miami-Dade County area. The Beach during the weekdays has a mix of singles, couples and families with small kids. During this time, it is mostly laid-back and that is why you have people going here during the weekday, just to relax. During the weekend, it packed with everyone from the mentioned above to boaters, kayakers. bicyclists, parties, etc... It has a restaurant, outside showers to rinse off and restrooms as well. One of Metro-Dade Police Marine Divisions is located here as well, so there is a Police presence in the area and Metro-Dade and Coral Gables Fire Rescue are nearby as well.",40,March 2017
Matheson Hammock Park,Parks,Yoli W,Perfect for little kiddos!,Shady areas as well and lifeguards as well. Not so much for teens or bigger kids. They do have kitesurfers and kitesurf lessons as well towards the right side. And a Marina ! ,50,April 2017
Wynwood Brewing Company,Breweries,Miamismith305,Rustic and local,"A dimly lit place where you can observe the brewing station through a window behind the bar. Perfect for a visit with friends, defenitely not first date material. It also has a happy hour. ",40,September 2016
The Centurion Lounge,Airport Lounges,traveleveryweek,"Nice space, but way too crowded","I've only been here twice, but each time I've had to circle the place for a place to sit.  Literally have to wait for someone to leave.   Lines at the buffet are crazy.  There is only one coffee station with one machine that makes Espresso, Cappuccino, Americano, etc., and the line here is even worse.  I'm sure it's not this way all the time, but this is not the place you want to be if you travel at peak times.",30,September 2018
The Centurion Lounge,Airport Lounges,pdb5c,Furious. $500/yr & Denied Entry,"Amex, if you keep refusing to honor your agreements, you're going to lose customers and you have a high risk of getting sued for breach of contract. Get your act together and deliver what you promise.",10,September 2018
The Centurion Lounge,Airport Lounges,RichardJDoumeng,Thank You American Express!,"It is small and often difficult to navigate around all of the families there. BUT the bar selection, the food offered and the staff working there are all good.  I live on St Thomas in the US Virgin Islands and Miami is the gateway airport to most of my working world. When the American Airlines - AMEX agreement with Admiral's Club ended, I joined and paid for Admirals Club. But the Centurion Lounge changed all that.",40,September 2018
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,C7740XVjuliec,Fantastic venue for music,"Beautiful venue to experience a full orchestra. We had tier 2, side,  left seats, last row, and had a fantastic view of the whole stage. The acoustics are excellent. In fact, you can even hear the people on stage speak to the audience without a microphone. Any show in this venue would be worthwhile to see. No obstructions, no echo.",50,February 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,choz02,¡FUÁCATA!,Went to see our friend play last night.  We were in the carnival theater in the arsht center.  Great little theater.  Great lighting and sound.  All good seats.  Show was great.  This show was general seating.  Don't know if all the plays in that venue are general but if it is then get there early.  They also have a bar with some food which you can bring in.  ,50,March 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,AnnArborMHT,Free Tour!,"Overall great experience; tour is free, informative and a great way to pass an hour in this beautiful complex!",50,March 2017
Adrienne Arsht Center for the Performing Arts of Miami-Dade County,Theaters,Richard M,Miami at its best,"This is our first winter in Miami, and we've been thrilled by what a fantastic city it is, and particularly the rich and diverse cultural offerings the city has to offer, especially at the fantastic Arsht Center.  We've attended symphonies, jazz performances, ballet, modern dance, and theatre, and they have been every bit the caliber of what we've found in Manhattan, a very Lincoln Center experience. The venue is superb, the seats are comfortable, and they all have wonderful views, even the seats in the upper tier, which we got for most performances we attended. Tickets aren't cheap, but they're cheaper than Manhattan, and we were NEVER disappointed.",50,March 2017
Matheson Hammock Park,Parks,Sunsetbum,Don't miss this park,We stumbled upon this gem by chance. The view is amazing. There is a very nice wading pool for kids. We didn't try the restaurant but the view.....,50,March 2017
Matheson Hammock Park,Parks,fhalvarez22,Beautiful peaceful setting, park is really worth seeing. They have nature trails through mangrove trees.It has a Pond and a Marina. You can sometimes see an alligator in the pond. It also has a very beautiful picnic area among the oak trees and at the very and there is a beach lagoon that is very peaceful and is very good for children as it has no waves.,40,April 2017
Matheson Hammock Park,Parks,loubnan2015,Nature's Delight,Best place to watch the sunset away from the noise and crowds. The area is a hidden gem magically behind a huge park and surprisingly striking and full of life. The pictures tell it all. ,50,February 2017
Matheson Hammock Park,Parks,MayaLacayo,Easy and quick getaway,"If you are looking to get to the beach without the hassle of driving to Miami Beach, then Matheson is the place for you. You have tons of activities, from biking to kayaking and paddle board. You also have a atoll - pool where you can take the kiddies without the fear of them swimming out to the deep blue. Definitely family friendly.",30,February 2017
